0	0	0	-4.53049791920638517e+128
0	0	1	-1.56707014623466530e+128
0	0	2	-4.13750599502438667e+127
0	0	3	-2.61053346387260801e+127
0	0	4	-9.68141394822427605e+127
0	0	5	-1.55648808491028387e+128
0	0	6	-9.89633507675729426e+127
0	0	7	7.65659473702846111e+115
0	0	8	9.89633507677263372e+127
0	0	9	1.55648808491182108e+128
0	0	10	9.68141394823966939e+127
0	0	11	2.61053346388800663e+127
0	0	12	4.13750599503979251e+127
0	0	13	1.56707014623620483e+128
0	0	14	4.53049791920791969e+128
0	0	15	6.62409447298200031e+128
0	0	16	4.53049791920792046e+128
0	0	17	1.56707014623620695e+128
0	0	18	4.13750599503980069e+127
0	0	19	2.61053346388800134e+127
0	0	20	9.68141394823966554e+127
0	0	21	1.55648808491182147e+128
0	0	22	9.89633507677263564e+127
0	0	23	7.65561212930690783e+115
0	0	24	-9.89633507675729810e+127
0	0	25	-1.55648808491028444e+128
0	0	26	-9.68141394822428183e+127
0	0	27	-2.61053346387261234e+127
0	0	28	-4.13750599502439196e+127
0	0	29	-1.56707014623466607e+128
0	0	30	-4.53049791920638671e+128
0	0	31	-6.62409447298047194e+128
0	1	0	-1.56707014623466742e+128
0	1	1	-4.96051593059959259e+127
0	1	2	-3.35308364873299961e+127
0	1	3	-5.29552640361314792e+127
0	1	4	-9.29739780945809936e+127
0	1	5	-1.14431414557711941e+128
0	1	6	-6.83274643638154337e+127
0	1	7	2.46350401949169442e+115
0	1	8	6.83274643638648497e+127
0	1	9	1.14431414557761521e+128
0	1	10	9.29739780946306501e+127
0	1	11	5.29552640361811069e+127
0	1	12	3.35308364873796718e+127
0	1	13	4.96051593060456113e+127
0	1	14	1.56707014623516187e+128
0	1	15	2.41702274012769442e+128
0	1	16	1.56707014623516245e+128
0	1	17	4.96051593060456787e+127
0	1	18	3.35308364873796718e+127
0	1	19	5.29552640361810395e+127
0	1	20	9.29739780946305924e+127
0	1	21	1.14431414557761540e+128
0	1	22	6.83274643638648593e+127
0	1	23	2.46286441349727802e+115
0	1	24	-6.83274643638154914e+127
0	1	25	-1.14431414557711999e+128
0	1	26	-9.29739780945810705e+127
0	1	27	-5.29552640361314984e+127
0	1	28	-3.35308364873299143e+127
0	1	29	-4.96051593059957720e+127
0	1	30	-1.56707014623466646e+128
0	1	31	-2.41702274012720113e+128
0	2	0	-4.13750599502441120e+127
0	2	1	-3.35308364873300922e+127
0	2	2	-4.30637342901834838e+127
0	2	3	-5.70254821588565837e+127
0	2	4	-7.11099159831598683e+127
0	2	5	-7.34197049743894910e+127
0	2	6	-4.22645741564933356e+127
0	2	7	1.58751331413409186e+114
0	2	8	4.22645741564965438e+127
0	2	9	7.34197049743927232e+127
0	2	10	7.11099159831631390e+127
0	2	11	5.70254821588598736e+127
0	2	12	4.30637342901867545e+127
0	2	13	3.35308364873333100e+127
0	2	14	4.13750599502471662e+127
0	2	15	5.09027640088857187e+127
0	2	16	4.13750599502471711e+127
0	2	17	3.35308364873333100e+127
0	2	18	4.30637342901867449e+127
0	2	19	5.70254821588598640e+127
0	2	20	7.11099159831631294e+127
0	2	21	7.34197049743927232e+127
0	2	22	4.22645741564965293e+127
0	2	23	1.58449119812410809e+114
0	2	24	-4.22645741564933500e+127
0	2	25	-7.34197049743895199e+127
0	2	26	-7.11099159831598876e+127
0	2	27	-5.70254821588565837e+127
0	2	28	-4.30637342901834069e+127
0	2	29	-3.35308364873299624e+127
